Район,Оплата,Долг,Недопоставки,Субсидии
Агрызский,0.83,2.05,0.093,1.35
Азнакаевский,1.04,1.73,0.0337,0.69
Аксубаевский,1.17,5.27,0,0.67
Актанышский,1.05,3.22,0.0539,1.52
Алексеевский,1.56,3.04,0.0005,1.48
Алькеевский,0.23,6.62,0,0.55
Альметьевский,0.97,2.75,0.0667,0.96
Апастовский,0.73,2.86,0,0.96
Арский,1,1.84,0,1.58
Атнинский,0,5.28,0,1.11
Бавлинский,0.91,1.86,0.015,1.1
Балтасинский,0.83,1.84,0.0071,1.34
Бугульминский,0.95,2.88,0.0669,0.78
Буинский,1.28,2.18,0.002,1.63
Вехнеуслонский,0.43,3.34,0,1.08
Высокогорский,0.92,2.69,0.0419,0.81
Дрожжановский,0,2.1,0,0.6
Елабужский,0.74,8.2,0.29,1.03
Заинский,0.85,2.33,0.0493,0.84
Зеленодольский,0.96,3.5,0.0335,0.71
Кайбицкий,0.53,4.72,0,0.98
Камскоустьинский,0.75,1.8,0,0.89
Кукморский,0.8,2.5,0.0043,0.8
Лаишевский,0.34,2.96,0,0.63
Лениногорский,0.91,2.65,0.0034,0.89
Мамадышский,0.99,2,0.0001,1.87
Менделеевский,0.74,2.88,0.009,1.41
Мензелинский,0.96,1.24,0,1.69
Муслюмовский,0.97,3.41,0.0041,1.91
Наб. Челны,0.94,2.78,0.0037,0.21
Нижнекамск,0.9,2.18,0.0008,0.31
Новошешминский,0.85,5.8,0.0985,1.1
Нурлатский,0.9,1.7,0,1.14
Пестречинский,0.52,2.63,0,0.85
Рыбнослободский,0.84,2.59,0,1.21
Сабинский,0.83,3.42,0,1.17
Сармановский,0.87,2.12,0.0354,1.3
Спасский,0.62,4.24,0.1553,1.08
Тетюшский,0.94,3.62,0,1.61
Тукаевский,0.86,1.32,0.029,1.06
Тюлячинский,0.89,2.32,0,0.77
Черемшанский,0.66,3.25,0,1.09
Чистопольский,0.81,2.63,0.0007,0.83
Ютазинский,1.01,2.03,0.0995,1.38
